ID;Status;Type;Lenght;Managed by;Municipality;Google Maps;Geographical coordinates;Geo Shape
2189;active;;;Woluwe-Saint-Pierre;Saint-Josse-ten-Noode Sint-Joost-ten-Node;https://www.google.com/maps/search/?api=1&query=50.84162967298923%2C4.465790243658321;50.84162967298923, 4.465790243658321;"{""coordinates"": [4.465790243658321, 50.84162967298923], ""type"": ""Point""}"
2191;active;régional;;Woluwe-Saint-Pierre;Saint-Josse-ten-Noode Sint-Joost-ten-Node;https://www.google.com/maps/search/?api=1&query=50.83941967351685%2C4.464470242978592;50.83941967351685, 4.464470242978592;"{""coordinates"": [4.464470242978592, 50.83941967351685], ""type"": ""Point""}"
2200;active;régional;;Woluwe-Saint-Pierre;Saint-Josse-ten-Noode Sint-Joost-ten-Node;https://www.google.com/maps/search/?api=1&query=50.84046967290454%2C4.465000243644037;50.84046967290454, 4.465000243644037;"{""coordinates"": [4.465000243644037, 50.84046967290454], ""type"": ""Point""}"
2204;active;problématique;;Woluwe-Saint-Pierre;Saint-Josse-ten-Noode Sint-Joost-ten-Node;https://www.google.com/maps/search/?api=1&query=50.84259967240087%2C4.4638802448066714;50.84259967240087, 4.4638802448066714;"{""coordinates"": [4.463880244806671, 50.84259967240087], ""type"": ""Point""}"
2205;active;Pkg vélo;;Woluwe-Saint-Pierre;Saint-Josse-ten-Noode Sint-Joost-ten-Node;https://www.google.com/maps/search/?api=1&query=50.83877967361338%2C4.465830242585519;50.83877967361338, 4.465830242585519;"{""coordinates"": [4.465830242585519, 50.83877967361338], ""type"": ""Point""}"
2217;active;Pkg vélo;;Woluwe-Saint-Pierre;Saint-Josse-ten-Noode Sint-Joost-ten-Node;https://www.google.com/maps/search/?api=1&query=50.842946672735756%2C4.463631245232572;50.842946672735756, 4.463631245232572;"{""coordinates"": [4.463631245232572, 50.842946672735756], ""type"": ""Point""}"
2219;active;régional;;Woluwe-Saint-Pierre;Saint-Josse-ten-Noode Sint-Joost-ten-Node;https://www.google.com/maps/search/?api=1&query=50.83425968167463%2C4.432980248981993;50.83425968167463, 4.432980248981993;"{""coordinates"": [4.432980248981993, 50.83425968167463], ""type"": ""Point""}"
2222;active;régional;;Woluwe-Saint-Pierre;Saint-Josse-ten-Noode Sint-Joost-ten-Node;https://www.google.com/maps/search/?api=1&query=50.83701968054595%2C4.4344402500379285;50.83701968054595, 4.4344402500379285;"{""coordinates"": [4.434440250037929, 50.83701968054595], ""type"": ""Point""}"
2230;active;;;Woluwe-Saint-Pierre;Saint-Josse-ten-Noode Sint-Joost-ten-Node;https://www.google.com/maps/search/?api=1&query=50.83767968079077%2C4.433760251036473;50.83767968079077, 4.433760251036473;"{""coordinates"": [4.433760251036473, 50.83767968079077], ""type"": ""Point""}"
2232;active;Pkg vélo;;Woluwe-Saint-Pierre;Saint-Josse-ten-Noode Sint-Joost-ten-Node;https://www.google.com/maps/search/?api=1&query=50.835099681610885%2C4.429680250606997;50.835099681610885, 4.429680250606997;"{""coordinates"": [4.429680250606997, 50.835099681610885], ""type"": ""Point""}"
2233;active;Pkg vélo;;Woluwe-Saint-Pierre;Saint-Josse-ten-Noode Sint-Joost-ten-Node;https://www.google.com/maps/search/?api=1&query=50.83701968033898%2C4.433770250137765;50.83701968033898, 4.433770250137765;"{""coordinates"": [4.433770250137765, 50.83701968033898], ""type"": ""Point""}"
2237;active;;;Woluwe-Saint-Pierre;Saint-Josse-ten-Noode Sint-Joost-ten-Node;https://www.google.com/maps/search/?api=1&query=50.837971299482135%2C4.419833106371311;50.837971299482135, 4.419833106371311;"{""coordinates"": [4.419833106371311, 50.837971299482135], ""type"": ""Point""}"
2256;project;;;Régional;Schaerbeek Schaarbeek;https://www.google.com/maps/search/?api=1&query=50.863626506089524%2C4.3592740055508195;50.863626506089524, 4.3592740055508195;"{""coordinates"": [4.359274005550819, 50.863626506089524], ""type"": ""Point""}"
2257;project;;;Régional;Schaerbeek Schaarbeek;https://www.google.com/maps/search/?api=1&query=50.864617734636546%2C4.3591830205573086;50.864617734636546, 4.3591830205573086;"{""coordinates"": [4.359183020557309, 50.864617734636546], ""type"": ""Point""}"
2261;project;;;Régional;Bruxelles Brussel;https://www.google.com/maps/search/?api=1&query=50.87352621613113%2C4.3591151187478525;50.87352621613113, 4.3591151187478525;"{""coordinates"": [4.359115118747853, 50.87352621613113], ""type"": ""Point""}"
2262;project;;;Régional;Bruxelles Brussel;https://www.google.com/maps/search/?api=1&query=50.86942214137712%2C4.353606917042997;50.86942214137712, 4.353606917042997;"{""coordinates"": [4.353606917042997, 50.86942214137712], ""type"": ""Point""}"
